,PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,PhotoUrl,ByeWeek,UpcomingGameOpponent,UpcomingGameWeek,ShortName,AverageDraftPosition,DepthPositionCategory,DepthPosition,DepthOrder,DepthDisplayOrder,CurrentTeam,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,HeightFeet,HeightInches,UpcomingOpponentRank,UpcomingOpponentPositionRank,CurrentStatus,UpcomingSalary,FantasyAlarmPlayerID,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelName,DraftKingsName,YahooName,FantasyPositionDepthOrder,InjuryPractice,InjuryPracticeDescription,DeclaredInactive,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,TeamID,GlobalTeamID,FantasyDraftPlayerID,FantasyDraftName,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated
52,1061,NA,,Charles,Johnson,DE,Inactive,"6'2""",275,1986-07-10T00:00:00,Georgia,15,DL,FALSE,DEF,Charles Johnson,37,12th Season,10-Jul-86,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1061.png,NA,BUF,0,C.Johnson,NA,Scrambled,Scrambled,NA,NA,NA,CAR,2007,3,103,FALSE,6,2,6,NA,Scrambled,NA,301690,f4baa4a3-8548-4cc1-bba8-e5e8d5d4656e,4245,5200,263156,16978,NA,NA,NA,8337,Scrambled,Scrambled,NA,Scrambled,NA,Charles Johnson,Charles Johnson,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,3504,http://cdn.usatsimg.com/api/download/?imageID=9510368,http://cdn.usatsimg.com/api/download/?imageID=10839470,NA,NA
60,7202,NA,96,Brian,Robison,DE,Inactive,"6'3""",259,1983-04-27T00:00:00,Texas,15,DL,FALSE,DEF,Brian Robison,40,12th Season,27-Apr-83,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7202.png,NA,SF,0,B.Robison,NA,Scrambled,Scrambled,NA,NA,NA,MIN,2007,4,126,FALSE,6,3,11,NA,Scrambled,NA,301612,ac568889-d10d-4ccc-89a1-8e4233848086,4350,5319,NA,5966,9582,NA,NA,8356,Scrambled,Scrambled,NA,Scrambled,NA,Brian Robison,Brian Robison,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,1793,http://cdn.usatsimg.com/api/download/?imageID=7478359,http://cdn.usatsimg.com/api/download/?imageID=10840029,NA,NA
74,8696,NA,69,Ryan,McBean,DE,Inactive,"6'4""",305,1984-04-23T00:00:00,Oklahoma State,8,DL,FALSE,DEF,Ryan McBean,39,5th Season,23-Apr-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,NA,NA,0,R.McBean,NA,Scrambled,Scrambled,NA,NA,NA,PIT,2007,4,163,FALSE,6,4,NA,NA,Scrambled,NA,301606,a5a8737d-4212-41e4-b26c-72c98b83ec89,NA,NA,NA,NA,9585,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
77,12457,NA,56,Jay,Richardson,DE,Inactive,"6'6""",280,1984-01-27T00:00:00,Ohio State,8,DL,FALSE,DEF,Jay Richardson,40,5th Season,27-Jan-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,NA,NA,0,J.Richardson,NA,Scrambled,Scrambled,NA,NA,NA,LV,2007,5,171,FALSE,6,6,NA,NA,Scrambled,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
87,10280,NA,90,Derek,Landri,DE,Inactive,"6'2""",290,1983-09-21T00:00:00,Notre Dame,11,DL,FALSE,DEF,Derek Landri,40,7th Season,21-Sep-83,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,NA,NA,0,D.Landri,NA,Scrambled,Scrambled,NA,NA,NA,JAX,2007,5,206,FALSE,6,2,NA,NA,Scrambled,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
125,5748,NA,70,Mike,DeVito,DE,Inactive,"6'3""",305,1984-06-10T00:00:00,Maine,11,DL,FALSE,DEF,Mike DeVito,39,9th Season,10-Jun-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5748.png,NA,NE,0,M.DeVito,NA,Scrambled,Scrambled,NA,NA,NA,NYJ,2007,NA,NA,TRUE,6,3,12,NA,Scrambled,NA,301615,ae03b44e-bd25-42af-8e53-ed8967bc09b5,NA,7114,NA,33698,9863,NA,NA,8551,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
8,844,NA,76,Amobi,Okoye,DT,Inactive,"6'2""",315,1987-06-10T00:00:00,Louisville,11,DL,FALSE,DEF,Amobi Okoye,36,7th Season,10-Jun-87,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,NA,NYG,0,A.Okoye,NA,Scrambled,Scrambled,NA,NA,NA,HOU,2007,1,12,FALSE,6,2,28,NA,Scrambled,NA,302195,80fe18c8-da41-49a7-a22f-c0aae91c1d60,NA,NA,NA,NA,9420,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
27,7169,NA,97,Alan,Branch,DT,Inactive,"6'6""",325,1984-12-29T00:00:00,Michigan,15,DL,FALSE,DEF,Alan Branch,39,12th Season,29-Dec-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7169.png,NA,PHI,0,A.Branch,NA,Scrambled,Scrambled,NA,NA,NA,ARI,2007,2,41,FALSE,6,6,38,NA,Scrambled,NA,302277,eb02d9d3-87a1-4e50-9809-094946c73c46,4157,5196,264843,16948,6277,NA,NA,8287,Scrambled,Scrambled,NA,Scrambled,NA,Alan Branch,Alan Branch,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,4599,http://cdn.usatsimg.com/api/download/?imageID=9592530,http://cdn.usatsimg.com/api/download/?imageID=10835454,NA,NA
53,292,NA,,Brandon,Mebane,DT,Inactive,"6'1""",311,1985-01-15T10:00:00,California,17,DL,FALSE,DEF,Brandon Mebane,39,14th Season,15-Jan-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/292.png,NA,KC,0,B.Mebane,NA,Scrambled,Scrambled,NA,NA,NA,SEA,2007,3,105,FALSE,6,1,2,NA,Scrambled,NA,302109,1c5a8bd4-1b02-458e-943d-c391d3f0258e,4367,5393,NA,14126,9577,NA,NA,8339,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,6080756,http://cdn.usatsimg.com/api/download/?imageID=12071772,http://cdn.usatsimg.com/api/download/?imageID=12145001,2019-01-28T20:37:56,2019-02-11T12:42:24
57,4060,NA,91,Ray,McDonald,DT,Inactive,"6'3""",290,1984-09-02T00:00:00,Florida,12,DL,FALSE,DEF,Ray McDonald,39,8th Season,2-Sep-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4060.png,NA,GB,0,R.McDonald,NA,Scrambled,Scrambled,NA,NA,NA,SF,2007,3,120,FALSE,6,3,17,NA,Scrambled,NA,302193,7ff37afe-6632-4ebe-b958-2cc16cfecfa3,NA,NA,NA,NA,9373,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
63,2623,NA,90,Paul,Soliai,DT,Inactive,"6'4""",345,1983-12-30T00:00:00,Utah,14,DL,FALSE,DEF,Paul Soliai,40,11th Season,30-Dec-83,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2623.png,NA,TB,0,P.Soliai,NA,Scrambled,Scrambled,NA,NA,NA,MIA,2007,4,134,FALSE,6,4,22,NA,Scrambled,NA,302288,f14dba2e-7714-4344-8800-feb6f78cf64e,NA,6348,NA,16114,9545,NA,NA,8362,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
114,1362,NA,44,Jackie,Battle,FB,Inactive,"6'2""",240,1983-10-01T00:00:00,Houston,11,RB,FALSE,OFF,Jackie Battle,40,7th Season,1-Oct-83,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1362.png,NA,TB,0,J.Battle,NA,Scrambled,Scrambled,NA,NA,NA,DAL,2007,NA,NA,TRUE,6,2,22,6,Scrambled,NA,302842,192e6f3d-c0d0-474e-b102-7b6a9c5743d3,NA,NA,NA,NA,9671,6433,218429,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
4,6259,NA,30,LaRon,Landry,FS,Inactive,"6'0""",210,1984-10-14T00:00:00,LSU,12,DB,FALSE,DEF,LaRon Landry,39,8th Season,14-Oct-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6259.png,NA,BUF,0,L.Landry,NA,Scrambled,Scrambled,NA,NA,NA,WAS,2007,1,9,FALSE,6,0,6,NA,Scrambled,NA,300787,34150f4d-5646-4027-a85f-e74ed7eebfca,NA,NA,NA,NA,9371,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
17,12167,NA,27,Reggie,Nelson,FS,Inactive,"5'11""",202,1983-09-21T00:00:00,Florida,15,DB,FALSE,DEF,Reggie Nelson,40,12th Season,21-Sep-83,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/12167.png,NA,KC,0,R.Nelson,NA,Scrambled,Scrambled,NA,NA,NA,JAX,2007,1,26,FALSE,5,11,2,NA,Scrambled,NA,300845,9029830c-1394-494f-a92c-e192697913cf,4164,5368,296140,22619,3235,NA,NA,8275,Scrambled,Scrambled,NA,Scrambled,NA,Reggie Nelson,Reggie Nelson,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,2397637,http://cdn.usatsimg.com/api/download/?imageID=10839694,http://cdn.usatsimg.com/api/download/?imageID=10839694,2018-05-16T16:16:19,2018-05-16T16:16:19
30,7243,NA,,Eric,Weddle,FS,Inactive,"5'11""",200,1985-01-04T00:00:00,Utah,17,DB,FALSE,DEF,Eric Weddle,39,14th Season,4-Jan-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7243.png,NA,CIN,0,E.Weddle,NA,Scrambled,Scrambled,NA,NA,NA,LAC,2007,2,46,FALSE,5,11,32,NA,Scrambled,NA,302544,26138e8b-b776-492a-9684-b1c07e51b25c,4223,5370,225448,5405,8790,NA,225448,8291,Scrambled,Scrambled,NA,Scrambled,NA,Eric Weddle,Eric Weddle,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,8292070,http://cdn.usatsimg.com/api/download/?imageID=13412160,http://cdn.usatsimg.com/api/download/?imageID=13421808,2019-09-25T12:58:37,2019-09-27T15:58:14
47,364,NA,26,Usama,Young,FS,Inactive,"6'0""",200,1985-05-08T00:00:00,Kent State,12,DB,FALSE,DEF,Usama Young,38,8th Season,8-May-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/364.png,NA,DEN,0,U.Young,NA,Scrambled,Scrambled,NA,NA,NA,NO,2007,3,82,FALSE,6,0,36,NA,Scrambled,NA,302552,ab502cd5-aafc-4a70-a715-1d4a4c9f8a83,NA,NA,NA,NA,9635,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
72,5940,NA,38,Dashon,Goldson,FS,Inactive,"6'2""",200,1984-09-18T00:00:00,Washington,11,DB,FALSE,DEF,Dashon Goldson,39,9th Season,18-Sep-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5940.png,NA,NE,0,D.Goldson,NA,Scrambled,Scrambled,NA,NA,NA,SF,2007,4,156,FALSE,6,2,12,NA,Scrambled,NA,300844,8fd45946-17e7-4e01-91df-bb866f268309,4444,5531,NA,16604,9528,NA,NA,8380,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
